Document,Document Name,avoine,riz,millet,seigle,sorgho,orge,artichaut,asperges,choux,choux-fleurs et brocolis,salades,epinard,chicoré,concombre,aubergine,tomates,pastèques,melons,citrouille,courge et calebasses,carotte,oignons,taro,navets,ail,poireaux,arachides,graine de ricin,lin,moutarde,guizotia abyssinie,colza,carthame,sésame,tournesol,manioc,pomme de terre,pomme,patate douce,igname,haricots,pois,soja,coton,kiwis,agrumes,ananas,goyave,grenade,kaki,papaye,mangue,anacardier,noix de cajou,noix de pécan,pacanier,pistachier,jachère,savane arborée,savane arbustive,savane herbacée et prairie,forêt à feuilles persistantes,brousse tigrée,sol nu,bâtiment,route,eau
30,010061522.pdf,0,0.0,0.00763341227114154,0,0.004305858432731643,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0050889415140943604,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0011001628309963028
31,01525.pdf,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.013759870886486267,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.016589819234875708,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
32,010065743.pdf,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.04334895338427503
33,010036289.pdf,0,0.0006414155854516221,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0009382501199030265,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0578409569786566
34,010017231.pdf,0,0.0017628593192163136,0.006470322204629677,0,0.00016101979828761154,0,0,0,0.00028126737290894654,0,0,0,0,0.00028126737290894654,0.0,0.0,0.0,0,0,0,0.0,0.00025466217319037053,0.0,0,0.012893379932936046,0,0.004201728126367301,0,0.0005709107827614421,0,0,0.0003267492622365128,0,0.0002666254749258452,0,0.001427497132881788,0,0.0,0,0.000456113946943589,0.0,0.0,0.0,0.0016369839453523802,0,0.0002666254749258452,0.0010665018997033809,0,0,0.0003267492622365128,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.001548005099187953,0.003437666285239998,0.0018924932148398088
35,010027316.pdf,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.04416797242067056,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.006815258299533594
36,010068396.pdf,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.07490061679462026
37,010042354.pdf,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0090826070350023
38,010068415.pdf,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.007721931684874034,0,0,0,0,0,0,0.0,0.0,0.09889125204705457
39,010068392.pdf,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.012457603924246639
40,010038507.pdf,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.021950373633542585,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
41,010067182.pdf,0,0.0035186735912268318,0.020967535850007338,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.01149520495157726,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0181316319206044
42,010013855.pdf,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.005421972056731736,0.02725331588314769
43,010064583.pdf,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.13043262852018242
44,010041085.pdf,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0642130293475721
45,35894.pdf,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.013388794632081459
46,010036284.pdf,0,0.000860001988313067,0.0011140637326465253,0,0.0009426323145060191,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0011140637326465253,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.05298613306073777
47,010078355.pdf,0,0.005987502578651961,0.0010341773720916015,0,0.004375194081350474,0,0,0,0.0,0,0,0,0,0.000764253438592774,0.0006919623827227724,0.0,0.0,0,0,0,0.0007244687996373971,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.00221643623006032,0,0.0,0,0.011154083883349873,0.0007244687996373971,0.0,0.004346812797824382,0.005782369192285389,0,0.0,0.0007244687996373971,0,0,0.0,0.0,0,0.0,0,0,0,0,0.04505890400567233,0,0,0,0,0,0,0.0,0.0,0.010731632130082444
48,010043107.pdf,0,0.0009449164111532159,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.001224063570031069,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.012635215346857295,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.007190859529292592,0,0,0,0,0,0,0.0,0.0010529346122381078,0.18206309431755402
49,41155.pdf,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0013278785019720054
